Expansion,Energy_Barrier,Stiffness,t,theta,L,s,gap,expL,area E
0.408512194,0.930091799,0.9492939330134369,0.15,0.0714,1,0.443569785,0.497248596,1.497248596,2.241753358
0.3870717206564724,0.8784379782577212,1.4308293486232153,0.15,0.0952,1,0.407563607,0.472820321,1.472820321,2.169199698
0.46874999999999967,0.9271628985486919,1.2980652778321946,0.15,0,1,0.55,0.55,1.55,2.4025
0.362792778,0.7938951245662517,2.030672319,0.15,0.119,1,0.371326581,0.445055619,1.445055619,2.088185741
0.32585525448135577,0.6810694585473868,1.3428826224710808,0.15,0.1428,1,0.334879229,0.414017386,1.414017386,1.999445167
0.2879463221941346,0.5376430284413383,0.921302586,0.15,0.1666,1,0.298242198,0.379775933,1.379775933,1.903781626
0.24936719571285848,0.3703459883349264,0.884803285,0.15,0.1904,1,0.261436238,0.34240883,1.34240883,1.802061467
0.21041655402641804,0.19084699108556014,1.3825162336996613,0.15,0.2142,1,0.224482198,0.302000725,1.302000725,1.695205887
0.15956954634530407,0.034363098839011896,0.8630314759667448,0.15,0.238,1,0.187401008,0.258643155,1.258643155,1.584182592
NULL,NULL,NULL,0.15,0.2618,1,0.150213671,0.212434341,1.212434341,1.469997031
NULL,NULL,NULL,0.15,0.2856,1,0.112941251,0.16347896,1.16347896,1.35368329
NULL,NULL,NULL,0.15,0.3094,1,0.07560486,0.111887913,1.111887913,1.23629473
0.4520800750598375,0.3808856213297124,0.41380242688439206,0.16037,-0.1666,1,0.75286972,0.526201448,1.526201448,2.32929086
0.45832522553045074,0.7185472144345489,1.1580391106530574,0.16081,-0.0476,1,0.58614518,0.537174419,1.537174419,2.362905193
0.45423827917347454,0.44964457887856174,0.592001757,0.16292,-0.1428,1,0.712374085,0.529524962,1.529524962,2.339446608
0.456531428,0.6402459034411314,1.0282807732982624,0.16348,-0.0714,1,0.611624931,0.53449213,1.53449213,2.354666098
0.4552531559213925,0.5088205254992048,0.7463402249466535,0.16438,-0.119,1,0.675102219,0.531507926,1.531507926,2.345516528
0.4557762287404514,0.5704294837670865,0.8917902641509132,0.16461,-0.0952,1,0.641418527,0.532909512,1.532909512,2.349811571
0.4526890488634869,0.7704696568994338,1.3606550780049116,0.16,-0.0238,1,0.554476623,0.531464666,1.531464666,2.345384022
0.41598712870239374,0.8120272323534005,0.6711819552040031,0.16,0.0238,1,0.485228842,0.505092029,1.505092029,2.265302017
0.3997357452095808,0.8028815493468909,1.0207009951567638,0.16,0.0476,1,0.450182843,0.486774525,1.486774525,2.210498489
0.38061865567997794,0.7678340092812829,1.468322830292636,0.16,0.0714,1,0.414881856,0.465088983,1.465088983,2.146485728
0.3586784346049052,0.7045107910725876,2.0273272103191835,0.16,0.0952,1,0.379345873,0.440084527,1.440084527,2.073843446
0.44196428571428553,0.8005715471881011,1.6410080782579701,0.16,0,1,0.52,0.52,1.52,2.3104
0.32414159101702195,0.6164437507177771,1.3332875976699083,0.16,0.119,1,0.343595024,0.411817802,1.411817802,1.993229505
0.28849959549620857,0.4981928651448104,0.8732027814220397,0.16,0.1428,1,0.307649559,0.38035284,1.38035284,1.905373963
0.25204837606172253,0.35739928785733555,0.7457228639913577,0.16,0.1666,1,0.271529836,0.34576092,1.34576092,1.811072454
